case_id,analyst_id,analyst_name,assigned_date,allocation_status,manager_override
C00048,A002,Sarah O'Connor,2025-09-27 13:06:08.731461,Completed,0
C00049,A010,Laura Hughes,2026-01-09 13:06:08.732460,Completed,1
C00050,A004,David Byrne,2025-11-23 13:06:08.732460,Completed,0
C00051,A001,John Murphy,2025-11-02 13:06:08.732460,Delayed,0
C00052,A013,Brian O'Sullivan,2025-08-19 13:06:08.732460,Delayed,0
C00053,A016,Daniel Clarke,2026-03-18 13:06:08.733460,Completed,0
C00054,A016,Daniel Clarke,2026-02-22 13:06:08.733460,Completed,0
C00055,A007,Michael Doyle,2026-03-12 13:06:08.733460,Completed,0
C00056,A013,Brian O'Sullivan,2026-01-29 13:06:08.734461,Completed,0
C00057,A003,Emma Walsh,2025-11-16 13:06:08.734461,Completed,0
C00058,A004,David Byrne,2026-05-10 13:06:08.734461,Escalated,0
C00059,A001,John Murphy,2025-12-16 13:06:08.734461,Completed,1
C00060,A003,Emma Walsh,2025-08-30 13:06:08.735461,Completed,0
C00061,A006,Aoife Brennan,2025-11-16 13:06:08.735461,Completed,0
C00062,A014,James Fitzgerald,2026-04-14 13:06:08.735461,Completed,0
C00063,A001,John Murphy,2025-10-15 13:06:08.735461,Completed,0
C00064,A013,Brian O'Sullivan,2025-09-20 13:06:08.736460,Completed,0
C00065,A006,Aoife Brennan,2025-10-05 13:06:08.736460,Completed,0
C00066,A016,Daniel Clarke,2026-06-01 13:06:08.736460,Delayed,0
C00067,A001,John Murphy,2025-08-04 13:06:08.737674,Completed,0
C00068,A005,Mark Kelly,2026-01-28 13:06:08.737674,Delayed,0
C00069,A010,Laura Hughes,2025-10-03 13:06:08.737674,Completed,0
C00070,A018,Kevin Reilly,2026-03-02 13:06:08.737674,Completed,1
C00071,A001,John Murphy,2026-01-19 13:06:08.738675,Completed,0
C00072,A002,Sarah O'Connor,2025-08-25 13:06:08.738675,Delayed,0
C00073,A007,Michael Doyle,2025-07-13 13:06:08.738675,Delayed,0
C00074,A016,Daniel Clarke,2025-10-19 13:06:08.738675,Escalated,0
C00075,A009,Conor Flynn,2026-05-18 13:06:08.739675,Completed,0
C00076,A016,Daniel Clarke,2026-04-20 13:06:08.739675,Completed,0
C00077,A004,David Byrne,2025-07-19 13:06:08.739675,Delayed,0
C00078,A011,Patrick Nolan,2026-01-09 13:06:08.739675,Escalated,0
C00079,A007,Michael Doyle,2026-05-26 13:06:08.740674,Completed,0
C00080,A003,Emma Walsh,2026-01-08 13:06:08.740674,Completed,0
C00081,A014,James Fitzgerald,2025-11-21 13:06:08.740674,Completed,0
C00082,A002,Sarah O'Connor,2026-04-23 13:06:08.740674,Escalated,0
C00083,A011,Patrick Nolan,2025-10-31 13:06:08.741675,Completed,0
C00084,A006,Aoife Brennan,2026-05-10 13:06:08.741675,Completed,0
C00085,A004,David Byrne,2025-12-24 13:06:08.741675,Completed,0
C00086,A002,Sarah O'Connor,2026-01-14 13:06:08.742675,Delayed,1
C00087,A015,Sophie Bennett,2026-03-13 13:06:08.742675,Delayed,1
C00088,A007,Michael Doyle,2026-06-23 13:06:08.742675,Completed,0
C00089,A005,Mark Kelly,2025-12-02 13:06:08.742675,Delayed,0
C00090,A006,Aoife Brennan,2026-06-01 13:06:08.743675,Delayed,0
C00091,A013,Brian O'Sullivan,2026-05-02 13:06:08.743675,Completed,0
C00092,A002,Sarah O'Connor,2025-07-20 13:06:08.744675,Completed,0
C00093,A013,Brian O'Sullivan,2025-08-19 13:06:08.744675,Completed,1
C00094,A001,John Murphy,2025-09-01 13:06:08.744675,Delayed,0
C00095,A007,Michael Doyle,2025-11-17 13:06:08.745675,Completed,1
C00096,A016,Daniel Clarke,2025-12-06 13:06:08.745675,Completed,0
C00097,A011,Patrick Nolan,2025-09-07 13:06:08.745675,Delayed,0
C00098,A002,Sarah O'Connor,2026-04-02 13:06:08.746675,Completed,0
C00099,A013,Brian O'Sullivan,2026-06-07 13:06:08.746675,Delayed,0
C00100,A015,Sophie Bennett,2025-08-23 13:06:08.746675,Completed,0
C00101,A010,Laura Hughes,2025-09-26 13:06:08.747675,Completed,0
C00102,A016,Daniel Clarke,2025-10-25 13:06:08.747675,Escalated,0
C00103,A016,Daniel Clarke,2025-09-30 13:06:08.747675,Completed,0
C00104,A004,David Byrne,2025-08-03 13:06:08.747675,Completed,0
C00105,A001,John Murphy,2025-12-30 13:06:08.748675,Delayed,0
C00106,A015,Sophie Bennett,2025-10-07 13:06:08.748675,Completed,0
C00107,A010,Laura Hughes,2025-11-30 13:06:08.748675,Completed,0
C00108,A004,David Byrne,2026-02-03 13:06:08.749675,Completed,0
C00109,A010,Laura Hughes,2025-12-13 13:06:08.749675,Escalated,1
C00110,A007,Michael Doyle,2026-04-28 13:06:08.749675,Completed,0
C00111,A007,Michael Doyle,2026-03-02 13:06:08.750674,Completed,0
C00112,A001,John Murphy,2026-05-29 13:06:08.750674,Completed,0
C00113,A015,Sophie Bennett,2025-09-23 13:06:08.750674,Completed,0
C00114,A006,Aoife Brennan,2025-09-18 13:06:08.751818,Completed,0
C00115,A003,Emma Walsh,2026-07-08 13:06:08.751818,Delayed,0
C00116,A013,Brian O'Sullivan,2025-09-30 13:06:08.752822,Completed,1
C00117,A013,Brian O'Sullivan,2026-05-10 13:06:08.752822,Delayed,0
C00118,A013,Brian O'Sullivan,2026-06-09 13:06:08.752822,Escalated,0
C00119,A018,Kevin Reilly,2025-08-13 13:06:08.752822,Completed,0
C00120,A012,Rachel McCarthy,2025-08-26 13:06:08.753820,Completed,0
C00121,A009,Conor Flynn,2026-02-08 13:06:08.753820,Escalated,0
C00122,A001,John Murphy,2026-06-30 13:06:08.753820,Completed,0
C00123,A006,Aoife Brennan,2025-11-03 13:06:08.754820,Completed,0
C00124,A010,Laura Hughes,2025-09-29 13:06:08.754820,Completed,0
C00125,A002,Sarah O'Connor,2025-09-08 13:06:08.754820,Completed,1
C00126,A016,Daniel Clarke,2026-02-27 13:06:08.754820,Completed,0
C00127,A016,Daniel Clarke,2026-01-13 13:06:08.755824,Escalated,1
C00128,A001,John Murphy,2026-01-26 13:06:08.755824,Completed,0
C00129,A010,Laura Hughes,2025-12-19 13:06:08.755824,Completed,0
C00130,A010,Laura Hughes,2026-02-25 13:06:08.756837,Completed,0
C00131,A018,Kevin Reilly,2026-01-21 13:06:08.756837,Completed,0
C00132,A003,Emma Walsh,2026-02-18 13:06:08.756837,Completed,0
C00133,A004,David Byrne,2026-01-17 13:06:08.756837,Completed,0
C00134,A004,David Byrne,2025-09-29 13:06:08.757834,Completed,0
C00135,A003,Emma Walsh,2025-08-31 13:06:08.757834,Completed,1
C00136,A010,Laura Hughes,2025-07-31 13:06:08.757834,Completed,0
C00137,A001,John Murphy,2025-12-17 13:06:08.757834,Completed,0
C00138,A013,Brian O'Sullivan,2026-05-10 13:06:08.758817,Completed,1
C00139,A018,Kevin Reilly,2026-03-11 13:06:08.758817,Completed,1
C00140,A002,Sarah O'Connor,2025-12-14 13:06:08.759821,Escalated,1
C00141,A003,Emma Walsh,2026-01-25 13:06:08.759821,Completed,0
C00142,A018,Kevin Reilly,2025-11-21 13:06:08.759821,Completed,1
C00143,A016,Daniel Clarke,2026-01-24 13:06:08.759821,Completed,1
C00144,A010,Laura Hughes,2026-02-23 13:06:08.760819,Escalated,0
C00145,A001,John Murphy,2026-04-03 13:06:08.760819,Delayed,0
C00146,A004,David Byrne,2026-01-17 13:06:08.760819,Escalated,0
C00147,A004,David Byrne,2025-12-20 13:06:08.761952,Completed,0
C00148,A004,David Byrne,2025-08-20 13:06:08.761952,Completed,0
C00149,A016,Daniel Clarke,2026-02-02 13:06:08.761952,Completed,0
C00150,A004,David Byrne,2025-11-15 13:06:08.761952,Completed,0
C00151,A018,Kevin Reilly,2026-06-28 13:06:08.762934,Completed,0
C00152,A007,Michael Doyle,2026-06-07 13:06:08.762934,Completed,0
C00153,A007,Michael Doyle,2026-02-06 13:06:08.762934,Completed,0
C00154,A014,James Fitzgerald,2025-08-25 13:06:08.762934,Completed,0
C00155,A004,David Byrne,2025-09-06 13:06:08.763917,Completed,0
C00156,A009,Conor Flynn,2026-03-08 13:06:08.763917,Completed,0
C00157,A004,David Byrne,2026-05-28 13:06:08.763917,Completed,0
C00158,A003,Emma Walsh,2025-08-24 13:06:08.764916,Delayed,0
C00159,A018,Kevin Reilly,2026-04-30 13:06:08.764916,Completed,0
C00160,A014,James Fitzgerald,2026-05-29 13:06:08.764916,Completed,0
C00161,A018,Kevin Reilly,2025-12-25 13:06:08.764916,Completed,0
C00162,A001,John Murphy,2025-12-08 13:06:08.764916,Delayed,0
C00163,A003,Emma Walsh,2026-05-04 13:06:08.765916,Delayed,0
C00164,A004,David Byrne,2026-03-24 13:06:08.765916,Completed,0
C00165,A005,Mark Kelly,2026-01-10 13:06:08.765916,Completed,0
C00166,A004,David Byrne,2026-04-19 13:06:08.765916,Completed,0
C00167,A003,Emma Walsh,2026-07-01 13:06:08.766933,Completed,0
C00168,A003,Emma Walsh,2025-09-24 13:06:08.766933,Completed,0
C00169,A004,David Byrne,2025-09-04 13:06:08.767917,Completed,0
C00170,A012,Rachel McCarthy,2026-01-03 13:06:08.767917,Delayed,0
C00171,A016,Daniel Clarke,2026-06-26 13:06:08.767917,Completed,0
C00172,A007,Michael Doyle,2025-12-24 13:06:08.768950,Completed,0
C00173,A002,Sarah O'Connor,2026-05-02 13:06:08.768950,Delayed,0
C00174,A003,Emma Walsh,2026-04-12 13:06:08.768950,Completed,1
C00175,A007,Michael Doyle,2026-01-26 13:06:08.769934,Completed,0
C00176,A016,Daniel Clarke,2026-03-27 13:06:08.769934,Completed,0
C00177,A007,Michael Doyle,2025-11-04 13:06:08.769934,Escalated,0
C00178,A010,Laura Hughes,2026-04-03 13:06:08.770933,Delayed,0
C00179,A005,Mark Kelly,2025-11-16 13:06:08.770933,Completed,0
C00180,A001,John Murphy,2025-10-02 13:06:08.770933,Completed,1
C00181,A018,Kevin Reilly,2026-07-06 13:06:08.770933,Completed,0
C00182,A007,Michael Doyle,2025-12-13 13:06:08.771933,Escalated,1
C00183,A007,Michael Doyle,2026-03-22 13:06:08.771933,Completed,0
C00184,A007,Michael Doyle,2026-06-10 13:06:08.771933,Completed,0
C00185,A008,Niamh Ryan,2026-05-14 13:06:08.772933,Completed,0
C00186,A001,John Murphy,2025-08-24 13:06:08.772933,Delayed,0
C00187,A013,Brian O'Sullivan,2025-10-16 13:06:08.772933,Completed,0
C00188,A018,Kevin Reilly,2026-03-02 13:06:08.772933,Delayed,0
C00189,A002,Sarah O'Connor,2025-07-12 13:06:08.773917,Delayed,0
C00190,A012,Rachel McCarthy,2025-07-26 13:06:08.773917,Completed,0
C00191,A005,Mark Kelly,2025-09-08 13:06:08.773917,Escalated,0
C00192,A013,Brian O'Sullivan,2025-10-12 13:06:08.774939,Completed,0
C00193,A016,Daniel Clarke,2025-07-16 13:06:08.774939,Completed,0
C00194,A006,Aoife Brennan,2026-02-04 13:06:08.775918,Delayed,0
C00195,A001,John Murphy,2025-09-08 13:06:08.775918,Completed,0
C00196,A015,Sophie Bennett,2025-10-24 13:06:08.775918,Completed,0
C00197,A004,David Byrne,2025-12-03 13:06:08.777070,Completed,0
C00198,A007,Michael Doyle,2026-02-04 13:06:08.777070,Completed,1
C00199,A001,John Murphy,2025-11-15 13:06:08.777070,Completed,0
C00200,A006,Aoife Brennan,2025-07-14 13:06:08.778069,Escalated,0
C00201,A003,Emma Walsh,2026-06-05 13:06:08.778069,Completed,0
C00202,A007,Michael Doyle,2026-02-05 13:06:08.778069,Delayed,1
C00203,A003,Emma Walsh,2026-03-31 13:06:08.779069,Completed,0
C00204,A010,Laura Hughes,2026-06-26 13:06:08.779069,Escalated,0
C00205,A004,David Byrne,2025-11-06 13:06:08.779069,Completed,0
C00206,A004,David Byrne,2026-01-06 13:06:08.779069,Escalated,0
C00207,A001,John Murphy,2025-09-29 13:06:08.780069,Completed,0
C00208,A018,Kevin Reilly,2025-09-10 13:06:08.780069,Completed,0
C00209,A002,Sarah O'Connor,2026-07-02 13:06:08.780069,Delayed,0
C00210,A015,Sophie Bennett,2026-07-04 13:06:08.780069,Escalated,0
C00211,A014,James Fitzgerald,2026-06-26 13:06:08.781068,Delayed,0
C00212,A011,Patrick Nolan,2026-05-19 13:06:08.781068,Delayed,0
C00213,A010,Laura Hughes,2025-07-18 13:06:08.781068,Completed,1
C00214,A008,Niamh Ryan,2025-07-27 13:06:08.781068,Completed,0
C00215,A018,Kevin Reilly,2026-04-06 13:06:08.782068,Completed,0
C00216,A002,Sarah O'Connor,2026-06-29 13:06:08.782068,Completed,0
C00217,A018,Kevin Reilly,2025-09-30 13:06:08.782068,Delayed,0
C00218,A005,Mark Kelly,2025-08-23 13:06:08.782068,Completed,0
C00219,A006,Aoife Brennan,2026-05-09 13:06:08.783068,Completed,0
C00220,A011,Patrick Nolan,2025-09-28 13:06:08.783068,Completed,1
C00221,A007,Michael Doyle,2025-12-01 13:06:08.783068,Delayed,0
C00222,A001,John Murphy,2026-01-06 13:06:08.783068,Completed,1
C00223,A013,Brian O'Sullivan,2026-06-11 13:06:08.784068,Completed,0
C00224,A003,Emma Walsh,2026-02-24 13:06:08.784068,Escalated,0
C00225,A002,Sarah O'Connor,2026-02-03 13:06:08.784068,Completed,0
C00226,A014,James Fitzgerald,2025-12-31 13:06:08.784068,Completed,1
C00227,A006,Aoife Brennan,2026-04-07 13:06:08.785068,Escalated,0
C00228,A012,Rachel McCarthy,2025-11-08 13:06:08.785068,Completed,0
C00229,A013,Brian O'Sullivan,2025-11-01 13:06:08.785068,Completed,0
C00230,A010,Laura Hughes,2025-12-21 13:06:08.785068,Completed,1
C00231,A003,Emma Walsh,2025-11-22 13:06:08.786068,Completed,0
C00232,A008,Niamh Ryan,2025-11-28 13:06:08.786068,Completed,0
C00233,A009,Conor Flynn,2025-07-23 13:06:08.786068,Completed,0
C00234,A003,Emma Walsh,2026-06-09 13:06:08.787213,Delayed,0
C00235,A016,Daniel Clarke,2026-03-29 13:06:08.787213,Completed,0
C00236,A016,Daniel Clarke,2026-04-29 13:06:08.787213,Completed,0
C00237,A002,Sarah O'Connor,2025-08-07 13:06:08.787213,Delayed,0
C00238,A006,Aoife Brennan,2026-06-19 13:06:08.787213,Delayed,0
C00239,A005,Mark Kelly,2026-07-02 13:06:08.788206,Completed,0
C00240,A006,Aoife Brennan,2026-01-31 13:06:08.788206,Completed,0
C00241,A013,Brian O'Sullivan,2026-05-28 13:06:08.788206,Completed,0
C00242,A005,Mark Kelly,2026-06-11 13:06:08.788206,Completed,0
C00243,A006,Aoife Brennan,2026-03-15 13:06:08.789205,Completed,0
C00244,A006,Aoife Brennan,2026-02-11 13:06:08.789205,Escalated,0
C00245,A007,Michael Doyle,2026-01-25 13:06:08.789205,Completed,0
C00246,A016,Daniel Clarke,2025-10-17 13:06:08.789205,Escalated,1
C00247,A003,Emma Walsh,2026-03-04 13:06:08.790205,Delayed,0
C00248,A018,Kevin Reilly,2025-11-19 13:06:08.790205,Delayed,0
C00249,A007,Michael Doyle,2025-08-25 13:06:08.790205,Delayed,0
C00250,A004,David Byrne,2025-07-16 13:06:08.790205,Completed,1
C00251,A002,Sarah O'Connor,2025-12-05 13:06:08.791205,Delayed,0
C00252,A001,John Murphy,2026-04-14 13:06:08.791205,Completed,0
C00253,A002,Sarah O'Connor,2025-12-03 13:06:08.791205,Completed,0
C00254,A016,Daniel Clarke,2025-09-01 13:06:08.792189,Completed,0
C00255,A016,Daniel Clarke,2026-01-29 13:06:08.792189,Completed,0
C00256,A007,Michael Doyle,2026-01-19 13:06:08.792189,Delayed,0
C00257,A007,Michael Doyle,2026-04-10 13:06:08.793191,Completed,1
C00258,A003,Emma Walsh,2026-05-10 13:06:08.793191,Completed,0
C00259,A016,Daniel Clarke,2026-07-08 13:06:08.793191,Completed,0
C00260,A018,Kevin Reilly,2025-07-24 13:06:08.793191,Completed,0
C00261,A004,David Byrne,2026-02-11 13:06:08.794191,Completed,0
C00262,A003,Emma Walsh,2026-03-07 13:06:08.794191,Completed,0
C00263,A018,Kevin Reilly,2026-03-31 13:06:08.794191,Completed,0
C00264,A004,David Byrne,2026-04-10 13:06:08.794191,Completed,0
C00265,A016,Daniel Clarke,2026-02-14 13:06:08.795190,Delayed,0
C00266,A018,Kevin Reilly,2026-02-22 13:06:08.795190,Escalated,0
C00267,A011,Patrick Nolan,2025-10-25 13:06:08.795190,Delayed,0
C00268,A004,David Byrne,2025-12-20 13:06:08.795190,Completed,0
C00269,A009,Conor Flynn,2025-11-21 13:06:08.796190,Completed,0
C00270,A007,Michael Doyle,2025-08-15 13:06:08.796190,Completed,0
C00271,A007,Michael Doyle,2025-09-25 13:06:08.796190,Completed,1
C00272,A012,Rachel McCarthy,2025-11-07 13:06:08.796190,Escalated,0
C00273,A007,Michael Doyle,2026-06-29 13:06:08.797190,Delayed,0
C00274,A016,Daniel Clarke,2026-04-02 13:06:08.797190,Completed,0
C00275,A006,Aoife Brennan,2026-06-15 13:06:08.797190,Completed,0
C00276,A004,David Byrne,2026-06-30 13:06:08.798191,Delayed,0
C00277,A018,Kevin Reilly,2025-11-04 13:06:08.798191,Delayed,0
C00278,A018,Kevin Reilly,2025-08-06 13:06:08.798191,Completed,0
C00279,A010,Laura Hughes,2026-05-19 13:06:08.798191,Completed,0
C00280,A004,David Byrne,2025-12-29 13:06:08.799191,Completed,0
C00281,A010,Laura Hughes,2026-03-18 13:06:08.799191,Completed,0
C00282,A013,Brian O'Sullivan,2026-04-14 13:06:08.799191,Completed,0
C00283,A015,Sophie Bennett,2025-12-09 13:06:08.800192,Escalated,0
C00284,A009,Conor Flynn,2025-10-23 13:06:08.800192,Delayed,0
C00285,A008,Niamh Ryan,2025-09-26 13:06:08.800192,Completed,0
C00286,A007,Michael Doyle,2026-05-24 13:06:08.801191,Delayed,1
C00287,A011,Patrick Nolan,2026-04-13 13:06:08.801191,Completed,0
C00288,A001,John Murphy,2026-04-12 13:06:08.801191,Completed,0
C00289,A010,Laura Hughes,2026-05-27 13:06:08.801191,Delayed,0
C00290,A006,Aoife Brennan,2026-01-21 13:06:08.802326,Completed,0
C00291,A001,John Murphy,2025-11-19 13:06:08.802326,Escalated,0
C00292,A011,Patrick Nolan,2025-08-11 13:06:08.803328,Delayed,0
C00293,A018,Kevin Reilly,2026-05-25 13:06:08.803328,Completed,0
C00294,A009,Conor Flynn,2026-06-15 13:06:08.803328,Completed,0
C00295,A015,Sophie Bennett,2025-07-27 13:06:08.803328,Completed,0
C00296,A002,Sarah O'Connor,2026-05-02 13:06:08.804326,Completed,0
C00297,A012,Rachel McCarthy,2026-06-19 13:06:08.804326,Escalated,0
C00298,A010,Laura Hughes,2025-09-29 13:06:08.804326,Completed,1
C00299,A004,David Byrne,2025-07-29 13:06:08.804326,Completed,0
C00300,A011,Patrick Nolan,2025-10-26 13:06:08.805328,Delayed,1
C00301,A005,Mark Kelly,2026-03-26 13:06:08.805328,Delayed,0
C00302,A011,Patrick Nolan,2025-09-05 13:06:08.805328,Completed,0
C00303,A005,Mark Kelly,2026-06-02 13:06:08.805328,Escalated,0
C00304,A004,David Byrne,2026-01-26 13:06:08.806328,Escalated,0
C00305,A013,Brian O'Sullivan,2025-12-03 13:06:08.806328,Completed,0
C00306,A001,John Murphy,2026-03-22 13:06:08.806328,Completed,0
C00307,A011,Patrick Nolan,2025-09-16 13:06:08.807328,Escalated,0
C00308,A015,Sophie Bennett,2026-02-05 13:06:08.807328,Completed,0
C00309,A013,Brian O'Sullivan,2025-09-28 13:06:08.807328,Completed,0
C00310,A016,Daniel Clarke,2026-04-02 13:06:08.808328,Completed,1
C00311,A018,Kevin Reilly,2026-05-02 13:06:08.808328,Escalated,0
C00312,A010,Laura Hughes,2025-11-08 13:06:08.808328,Completed,0
C00313,A003,Emma Walsh,2026-02-03 13:06:08.808328,Delayed,0
C00314,A011,Patrick Nolan,2025-08-17 13:06:08.809327,Completed,0
C00315,A002,Sarah O'Connor,2025-08-02 13:06:08.809327,Escalated,0
C00316,A009,Conor Flynn,2026-04-08 13:06:08.809327,Completed,0
C00317,A011,Patrick Nolan,2025-09-24 13:06:08.809327,Completed,0
C00318,A004,David Byrne,2025-08-23 13:06:08.810328,Completed,0
C00319,A002,Sarah O'Connor,2025-08-16 13:06:08.810328,Escalated,0
C00320,A011,Patrick Nolan,2025-10-08 13:06:08.810328,Completed,0
C00321,A018,Kevin Reilly,2026-01-25 13:06:08.811327,Completed,0
C00322,A008,Niamh Ryan,2025-09-10 13:06:08.811327,Completed,0
C00323,A004,David Byrne,2025-12-18 13:06:08.811327,Completed,0
C00324,A010,Laura Hughes,2025-08-30 13:06:08.812453,Delayed,0
C00325,A012,Rachel McCarthy,2026-02-13 13:06:08.812453,Completed,1
C00326,A007,Michael Doyle,2025-12-22 13:06:08.812453,Completed,0
C00327,A004,David Byrne,2026-02-26 13:06:08.813453,Delayed,0
C00328,A014,James Fitzgerald,2026-03-30 13:06:08.813453,Completed,0
C00329,A003,Emma Walsh,2025-09-14 13:06:08.814455,Completed,0
C00330,A006,Aoife Brennan,2026-04-20 13:06:08.814455,Completed,0
C00331,A003,Emma Walsh,2026-01-09 13:06:08.814455,Delayed,0
C00332,A007,Michael Doyle,2026-05-24 13:06:08.815455,Completed,0
C00333,A003,Emma Walsh,2025-10-05 13:06:08.815455,Completed,0
C00334,A007,Michael Doyle,2026-04-05 13:06:08.815455,Completed,1
C00335,A001,John Murphy,2025-10-21 13:06:08.816455,Escalated,0
C00336,A001,John Murphy,2025-08-23 13:06:08.816455,Completed,1
C00337,A004,David Byrne,2025-11-08 13:06:08.816455,Completed,0
C00338,A004,David Byrne,2025-10-11 13:06:08.817454,Completed,0
C00339,A006,Aoife Brennan,2026-02-28 13:06:08.817454,Escalated,0
C00340,A002,Sarah O'Connor,2026-01-20 13:06:08.817454,Completed,0
C00341,A004,David Byrne,2026-05-09 13:06:08.817454,Escalated,0
C00342,A007,Michael Doyle,2026-02-28 13:06:08.818455,Completed,0
C00343,A015,Sophie Bennett,2026-06-09 13:06:08.818455,Completed,0
C00344,A008,Niamh Ryan,2026-01-16 13:06:08.818455,Delayed,0
C00345,A001,John Murphy,2026-06-18 13:06:08.818455,Completed,0
C00346,A010,Laura Hughes,2026-06-06 13:06:08.819454,Completed,0
C00347,A012,Rachel McCarthy,2025-09-15 13:06:08.819454,Completed,0
C00348,A011,Patrick Nolan,2026-01-13 13:06:08.819454,Completed,1
C00349,A016,Daniel Clarke,2025-10-23 13:06:08.819454,Completed,0
C00350,A010,Laura Hughes,2026-01-29 13:06:08.820454,Delayed,1
C00351,A013,Brian O'Sullivan,2026-06-16 13:06:08.820454,Completed,0
C00352,A013,Brian O'Sullivan,2026-04-12 13:06:08.820454,Completed,0
C00353,A001,John Murphy,2026-02-10 13:06:08.821454,Delayed,1
C00354,A001,John Murphy,2025-12-03 13:06:08.821454,Completed,0
C00355,A001,John Murphy,2025-11-18 13:06:08.821454,Completed,0
C00356,A011,Patrick Nolan,2026-06-30 13:06:08.821454,Completed,0
C00357,A012,Rachel McCarthy,2025-07-24 13:06:08.822454,Completed,0
C00358,A004,David Byrne,2026-02-22 13:06:08.822454,Escalated,0
C00359,A003,Emma Walsh,2025-08-10 13:06:08.822454,Delayed,1
C00360,A008,Niamh Ryan,2026-02-11 13:06:08.822454,Delayed,0
C00361,A004,David Byrne,2025-11-24 13:06:08.823454,Completed,0
C00362,A007,Michael Doyle,2026-04-03 13:06:08.823454,Completed,0
C00363,A016,Daniel Clarke,2026-02-28 13:06:08.823454,Completed,1
C00364,A002,Sarah O'Connor,2026-02-20 13:06:08.824455,Completed,0
C00365,A004,David Byrne,2026-01-11 13:06:08.824455,Completed,0
C00366,A018,Kevin Reilly,2026-02-27 13:06:08.824455,Delayed,0
C00367,A004,David Byrne,2025-11-22 13:06:08.825454,Completed,0
C00368,A015,Sophie Bennett,2026-05-09 13:06:08.825454,Delayed,0
C00369,A013,Brian O'Sullivan,2025-08-17 13:06:08.825454,Escalated,0
C00370,A006,Aoife Brennan,2025-07-24 13:06:08.825454,Delayed,0
